ID,c,r_c,r_t,M_V,m_tot,M_bol,M_U,M_B,M_R,M_I,M_J,M_H,M_Ks
2098,1.91,0.74,60.08,-2.867,2476.36,-3.363,-2.242,-2.23,-3.3,-3.74,-4.331,-4.771,-4.853
2099,1.68,1.5,71.45,-2.873,2452.4,-3.399,-2.172,-2.186,-3.333,-3.797,-4.425,-4.898,-4.984
2100,1.79,2.81,175.0,-5.759,32209.78,-6.312,-4.985,-5.029,-6.242,-6.725,-7.384,-7.884,-7.972
2101,0.65,37.75,168.64,-6.695,76060.52,-7.251,-5.922,-5.966,-7.179,-7.664,-8.322,-8.823,-8.912
2102,1.82,2.64,175.0,-6.403,58951.18,-6.989,-5.72,-5.715,-6.869,-7.341,-7.983,-8.47,-8.557
2103,1.4,2.78,70.5,-3.836,6065.96,-4.352,-3.166,-3.168,-4.287,-4.742,-5.355,-5.816,-5.9
2104,0.51,54.55,175.0,-7.998,252061.73,-8.54,-7.24,-7.28,-8.469,-8.944,-9.594,-10.09,-10.176
2105,0.93,12.78,108.02,-3.44,4209.6,-3.966,-2.745,-2.754,-3.9,-4.363,-4.989,-5.461,-5.547
2106,1.14,10.42,143.0,-5.145,16827.22,-5.698,-4.351,-4.406,-5.631,-6.117,-6.778,-7.281,-7.368
2107,1.11,7.16,92.49,-3.764,5498.21,-4.275,-3.102,-3.101,-4.212,-4.665,-5.274,-5.73,-5.813
2108,1.74,0.68,37.07,-2.661,2168.6,-3.152,-2.06,-2.029,-3.092,-3.529,-4.11,-4.538,-4.618
2109,1.52,1.79,59.87,-3.606,4894.11,-4.119,-2.931,-2.933,-4.058,-4.514,-5.127,-5.584,-5.667
2110,0.85,24.92,175.0,-8.101,276769.34,-8.658,-7.348,-7.382,-8.577,-9.057,-9.715,-10.218,-10.305
2111,0.91,18.73,153.26,-6.581,70222.05,-7.129,-5.823,-5.862,-7.059,-7.539,-8.19,-8.684,-8.772
2112,1.38,1.5,36.28,-2.942,2568.78,-3.49,-2.17,-2.208,-3.425,-3.907,-4.56,-5.054,-5.142
2113,1.26,4.8,88.07,-2.531,1948.98,-3.032,-1.9,-1.88,-2.971,-3.417,-4.013,-4.454,-4.536
2114,1.69,0.68,32.74,-3.852,5804.98,-4.421,-3.073,-3.118,-4.341,-4.832,-5.502,-6.016,-6.107
2115,1.06,8.64,99.53,-6.483,59586.55,-7.05,-5.681,-5.739,-6.975,-7.467,-8.137,-8.649,-8.739
2116,2.35,0.78,175.0,-5.744,29391.75,-6.325,-4.914,-4.985,-6.246,-6.745,-7.431,-7.956,-8.048
2117,0.98,12.98,123.08,-8.512,409512.38,-9.066,-7.755,-7.793,-8.989,-9.469,-10.125,-10.623,-10.708
2118,1.84,0.56,39.12,-3.672,4624.52,-4.204,-2.953,-2.978,-4.137,-4.605,-5.241,-5.723,-5.808
2119,2.13,1.29,175.0,-8.956,610361.0,-9.507,-8.21,-8.244,-9.43,-9.908,-10.553,-11.049,-11.132
2120,1.19,11.17,175.0,-7.497,152758.95,-8.082,-6.764,-6.783,-7.976,-8.453,-9.111,-9.616,-9.705
2121,2.25,0.34,60.02,-2.034,1037.14,-2.562,-1.313,-1.332,-2.5,-2.968,-3.6,-4.076,-4.16
2122,0.56,27.73,100.0,-4.087,7282.61,-4.661,-3.28,-3.339,-4.582,-5.077,-5.753,-6.271,-6.362
2123,1.05,8.45,95.36,-3.631,4970.26,-4.149,-2.953,-2.951,-4.086,-4.544,-5.162,-5.624,-5.708
2124,1.4,7.01,175.0,-6.281,51632.5,-6.851,-5.481,-5.536,-6.775,-7.268,-7.941,-8.455,-8.545
2125,1.1,13.79,175.0,-6.773,80996.85,-7.363,-6.042,-6.059,-7.252,-7.734,-8.389,-8.89,-8.979
2126,2.32,0.52,108.71,-3.76,5369.35,-4.293,-3.033,-3.054,-4.229,-4.7,-5.336,-5.814,-5.9
2127,1.05,15.61,175.0,-9.427,965556.19,-9.975,-8.677,-8.712,-9.902,-10.374,-11.021,-11.518,-11.6
2128,0.75,19.9,112.43,-4.102,8224.16,-4.609,-3.453,-3.444,-4.547,-4.996,-5.6,-6.048,-6.132
2129,1.12,5.53,72.19,-2.528,1809.05,-3.106,-1.699,-1.768,-3.028,-3.526,-4.206,-4.726,-4.818
2130,1.74,1.17,64.32,-3.234,3443.23,-3.783,-2.472,-2.503,-3.716,-4.198,-4.85,-5.343,-5.431
2131,0.54,44.98,154.54,-5.051,18174.39,-5.581,-4.332,-4.351,-5.517,-5.985,-6.618,-7.095,-7.181
2132,0.62,21.27,88.29,-2.509,1853.98,-3.052,-1.752,-1.788,-2.985,-3.463,-4.11,-4.599,-4.687
2133,0.98,15.86,150.57,-4.386,8654.83,-4.925,-3.625,-3.666,-4.862,-5.337,-5.983,-6.472,-6.558
2134,0.8,10.64,67.2,-2.966,2640.98,-3.482,-2.279,-2.286,-3.421,-3.88,-4.496,-4.957,-5.04
2135,2.1,0.77,97.34,-4.04,7554.41,-4.579,-3.318,-3.336,-4.51,-4.982,-5.622,-6.106,-6.193
2136,1.76,2.61,149.27,-7.867,218023.55,-8.434,-7.101,-7.139,-8.347,-8.829,-9.49,-9.997,-10.086
2137,1.59,4.45,175.0,-8.763,500089.22,-9.317,-8.015,-8.051,-9.238,-9.716,-10.366,-10.864,-10.948
2138,0.69,15.76,77.07,-4.747,13350.61,-5.281,-4.015,-4.042,-5.216,-5.688,-6.325,-6.806,-6.892
2139,1.19,5.79,90.64,-3.877,5997.97,-4.405,-3.159,-3.179,-4.342,-4.809,-5.44,-5.915,-6.0
2140,1.62,4.15,175.0,-5.607,28929.83,-6.149,-4.856,-4.891,-6.082,-6.559,-7.206,-7.695,-7.782
2141,0.64,39.64,175.0,-8.572,425814.66,-9.123,-7.801,-7.847,-9.051,-9.534,-10.192,-10.693,-10.779
2142,1.45,6.24,175.0,-6.997,103804.57,-7.55,-6.239,-6.276,-7.477,-7.959,-8.611,-9.109,-9.198
2143,0.63,17.63,74.37,-6.391,60297.85,-6.931,-5.667,-5.689,-6.861,-7.333,-7.974,-8.459,-8.546
2144,0.69,35.51,175.0,-7.919,228219.31,-8.475,-7.13,-7.182,-8.403,-8.888,-9.553,-10.063,-10.151
2145,0.74,23.05,125.64,-4.5,10145.34,-5.03,-3.774,-3.801,-4.966,-5.435,-6.069,-6.548,-6.634
2146,0.83,26.13,175.0,-9.094,658883.12,-9.659,-8.315,-8.364,-9.578,-10.063,-10.72,-11.228,-11.312
2147,1.7,3.45,175.0,-7.143,115742.48,-7.695,-6.386,-6.424,-7.623,-8.103,-8.754,-9.252,-9.341
2148,1.9,2.19,175.0,-8.682,470144.0,-9.237,-7.923,-7.963,-9.16,-9.641,-10.295,-10.794,-10.88
2149,0.66,22.04,101.49,-3.648,4955.55,-4.156,-2.996,-2.988,-4.093,-4.543,-5.149,-5.601,-5.683
2150,1.03,14.45,156.06,-4.104,7101.38,-4.684,-3.267,-3.337,-4.606,-5.107,-5.791,-6.315,-6.406
2151,1.64,2.32,101.52,-6.015,43274.26,-6.547,-5.301,-5.318,-6.48,-6.948,-7.581,-8.059,-8.144
2152,1.53,0.67,22.68,-2.334,1442.92,-2.861,-1.619,-1.64,-2.797,-3.263,-3.893,-4.367,-4.453
2153,1.58,4.58,175.0,-9.081,691655.81,-9.64,-8.323,-8.361,-9.559,-10.04,-10.691,-11.194,-11.278
2154,0.88,20.03,151.7,-4.921,13592.25,-5.467,-4.14,-4.195,-5.401,-5.882,-6.536,-7.032,-7.119
2155,0.58,46.35,175.0,-5.047,16615.16,-5.587,-4.3,-4.336,-5.52,-5.995,-6.64,-7.128,-7.215
2156,1.06,15.19,175.0,-5.974,38667.37,-6.541,-5.179,-5.232,-6.465,-6.957,-7.628,-8.14,-8.23
2157,2.05,1.57,175.0,-8.904,591667.38,-9.453,-8.152,-8.188,-9.38,-9.858,-10.505,-11.002,-11.086
2158,1.57,2.21,82.39,-4.169,7138.52,-4.726,-3.369,-3.427,-4.657,-5.145,-5.808,-6.312,-6.401
2159,0.73,12.67,68.8,-2.238,1183.47,-2.809,-1.375,-1.462,-2.74,-3.239,-3.919,-4.436,-4.525
2160,1.46,6.12,175.0,-7.616,172488.89,-8.178,-6.825,-6.878,-8.105,-8.59,-9.257,-9.769,-9.858
2161,1.64,0.93,40.74,-4.47,9646.03,-5.015,-3.696,-3.741,-4.95,-5.431,-6.083,-6.576,-6.663
2162,1.2,10.25,164.19,-7.595,174516.05,-8.149,-6.831,-6.871,-8.077,-8.556,-9.214,-9.717,-9.806
2163,0.55,16.93,60.63,-6.135,45075.1,-6.685,-5.384,-5.42,-6.612,-7.092,-7.746,-8.243,-8.331
2164,0.91,21.49,175.0,-7.996,257637.12,-8.543,-7.262,-7.287,-8.464,-8.937,-9.586,-10.08,-10.167
2165,2.25,0.37,64.63,-4.972,14190.24,-5.542,-4.142,-4.213,-5.47,-5.966,-6.643,-7.16,-7.25
2166,1.75,3.11,175.0,-7.671,176852.38,-8.237,-6.929,-6.961,-8.146,-8.619,-9.27,-9.769,-9.857
2167,1.86,0.33,23.38,-2.108,1195.63,-2.599,-1.505,-1.474,-2.538,-2.975,-3.558,-3.988,-4.068
2168,0.87,23.73,175.0,-6.351,54979.57,-6.926,-5.547,-5.603,-6.847,-7.343,-8.02,-8.538,-8.629
2169,0.99,18.03,175.0,-6.977,94557.72,-7.545,-6.202,-6.249,-7.461,-7.947,-8.608,-9.116,-9.206
2170,1.28,9.21,175.0,-7.748,190634.06,-8.318,-6.977,-7.019,-8.232,-8.716,-9.382,-9.894,-9.983
2171,0.81,19.85,128.28,-3.934,5806.16,-4.467,-3.196,-3.228,-4.403,-4.875,-5.513,-5.996,-6.081
2172,1.37,7.44,175.0,-6.206,46705.3,-6.788,-5.537,-5.527,-6.667,-7.134,-7.771,-8.256,-8.342
2173,1.52,1.24,41.42,-2.391,1632.21,-2.914,-1.701,-1.711,-2.848,-3.308,-3.93,-4.398,-4.484
2174,1.45,6.25,175.0,-7.278,131476.53,-7.838,-6.509,-6.551,-7.762,-8.245,-8.904,-9.409,-9.499
2175,1.75,1.76,99.12,-5.221,20966.35,-5.753,-4.508,-4.526,-5.685,-6.153,-6.786,-7.264,-7.35
2176,1.21,10.74,175.0,-6.723,69712.4,-7.346,-5.929,-5.972,-7.223,-7.725,-8.412,-8.941,-9.033
2177,0.9,22.04,175.0,-5.413,22228.09,-5.998,-4.594,-4.656,-5.915,-6.416,-7.104,-7.633,-7.724
2178,2.27,0.71,131.27,-4.678,12787.9,-5.199,-3.984,-3.996,-5.136,-5.596,-6.219,-6.686,-6.771
2179,0.62,37.34,154.34,-4.301,8541.58,-4.839,-3.565,-3.596,-4.771,-5.244,-5.886,-6.372,-6.458
2180,2.37,0.15,35.85,-2.487,1358.04,-3.01,-1.739,-1.777,-2.956,-3.427,-4.06,-4.534,-4.616
2181,1.42,2.5,66.47,-5.989,39285.18,-6.536,-5.227,-5.268,-6.467,-6.947,-7.599,-8.094,-8.182
2182,0.67,29.88,140.51,-4.467,8254.95,-5.065,-3.579,-3.676,-4.984,-5.496,-6.2,-6.741,-6.833
2183,2.31,0.45,92.1,-2.658,2015.11,-3.223,-1.844,-1.903,-3.152,-3.644,-4.314,-4.823,-4.913
2184,1.99,1.78,175.0,-8.825,535117.0,-9.379,-8.05,-8.098,-9.307,-9.791,-10.448,-10.952,-11.037
2185,0.8,15.08,95.9,-7.494,158613.72,-8.048,-6.785,-6.798,-7.963,-8.43,-9.07,-9.56,-9.647
2186,1.51,5.43,175.0,-7.942,228578.88,-8.509,-7.166,-7.209,-8.425,-8.909,-9.575,-10.086,-10.174
2187,1.92,2.1,175.0,-7.207,120225.95,-7.785,-6.461,-6.492,-7.687,-8.166,-8.817,-9.315,-9.404
2188,2.41,0.68,175.0,-7.534,165678.05,-8.099,-6.8,-6.822,-8.011,-8.486,-9.138,-9.637,-9.726
2189,1.97,1.88,175.0,-8.78,511568.44,-9.332,-8.009,-8.055,-9.261,-9.743,-10.399,-10.901,-10.987
2190,0.62,29.11,120.34,-3.538,4353.36,-4.057,-2.846,-2.862,-3.994,-4.453,-5.073,-5.538,-5.623
2191,1.26,9.63,175.0,-5.475,26106.72,-6.02,-4.737,-4.766,-5.949,-6.425,-7.072,-7.564,-7.652
2192,0.76,30.42,175.0,-6.946,93233.65,-7.501,-6.176,-6.219,-7.429,-7.914,-8.569,-9.071,-9.16
2193,1.14,9.48,132.26,-3.707,5206.87,-4.266,-2.908,-2.962,-4.196,-4.684,-5.349,-5.853,-5.943
2194,0.87,10.44,77.89,-5.517,26118.54,-6.068,-4.769,-4.803,-5.995,-6.474,-7.128,-7.626,-7.714
2195,0.78,28.1,169.01,-6.202,45432.03,-6.743,-5.449,-5.488,-6.677,-7.153,-7.8,-8.29,-8.376
2196,1.96,1.05,95.77,-6.948,86742.07,-7.525,-6.118,-6.19,-7.448,-7.947,-8.626,-9.149,-9.24
2197,2.23,0.9,152.33,-7.726,195854.0,-8.282,-6.949,-6.994,-8.209,-8.691,-9.354,-9.861,-9.951
2198,1.76,2.78,159.47,-8.581,428426.03,-9.13,-7.811,-7.857,-9.06,-9.542,-10.199,-10.698,-10.784
2199,0.62,8.25,34.04,-4.004,6451.94,-4.52,-3.323,-3.333,-4.456,-4.912,-5.529,-5.993,-6.077
2200,0.51,10.14,33.19,-2.53,2119.32,-3.045,-1.884,-1.866,-2.978,-3.431,-4.038,-4.492,-4.577
2201,2.45,0.62,175.0,-7.501,159918.42,-8.049,-6.737,-6.777,-7.983,-8.458,-9.11,-9.613,-9.701
2202,1.0,9.9,99.47,-3.063,3050.69,-3.58,-2.379,-2.376,-3.521,-3.981,-4.599,-5.058,-5.142
2203,1.4,4.03,101.21,-3.027,3245.65,-3.541,-2.38,-2.363,-3.475,-3.928,-4.535,-4.988,-5.073
2204,0.85,3.59,25.26,-2.488,1438.08,-3.008,-1.797,-1.808,-2.943,-3.403,-4.024,-4.493,-4.576
2205,0.51,54.13,175.0,-7.893,221928.22,-8.446,-7.109,-7.159,-8.375,-8.859,-9.521,-10.027,-10.115
2206,2.21,0.68,110.73,-3.492,3740.34,-4.033,-2.728,-2.773,-3.967,-4.445,-5.093,-5.584,-5.671
2207,2.09,1.41,175.0,-7.679,186905.16,-8.238,-6.89,-6.94,-8.165,-8.65,-9.315,-9.826,-9.915
2208,2.07,0.58,68.88,-3.068,2710.32,-3.637,-2.229,-2.305,-3.567,-4.063,-4.739,-5.253,-5.343
2209,2.15,1.25,175.0,-9.913,1527140.38,-10.457,-9.192,-9.212,-10.375,-10.841,-11.48,-11.974,-12.054
2210,2.29,0.19,37.44,-3.294,3493.78,-3.844,-2.534,-2.569,-3.774,-4.255,-4.908,-5.403,-5.491
2211,1.92,2.1,175.0,-8.187,297155.53,-8.744,-7.423,-7.462,-8.664,-9.145,-9.804,-10.304,-10.391
2212,0.57,39.01,145.29,-7.466,145948.3,-8.034,-6.662,-6.72,-7.959,-8.447,-9.119,-9.634,-9.724
2213,1.94,0.94,81.65,-6.164,43335.98,-6.73,-5.484,-5.498,-6.626,-7.093,-7.738,-8.234,-8.321
2214,1.44,6.39,175.0,-8.871,571883.19,-9.418,-8.112,-8.153,-9.348,-9.828,-10.477,-10.974,-11.059
2215,0.86,24.08,175.0,-9.598,1116883.38,-10.149,-8.854,-8.884,-10.07,-10.54,-11.185,-11.682,-11.763
2216,2.27,0.94,175.0,-7.987,252214.05,-8.531,-7.222,-7.262,-8.462,-8.94,-9.595,-10.094,-10.181
2217,0.64,39.88,175.0,-5.994,35816.44,-6.56,-5.184,-5.249,-6.486,-6.979,-7.652,-8.165,-8.255
2218,1.1,4.79,59.95,-4.023,7222.31,-4.546,-3.327,-3.335,-4.483,-4.946,-5.571,-6.038,-6.123
2219,1.02,16.54,175.0,-6.667,67718.2,-7.266,-5.91,-5.94,-7.155,-7.645,-8.315,-8.83,-8.921
2220,1.62,4.18,175.0,-6.566,66730.68,-7.115,-5.811,-5.849,-7.044,-7.523,-8.175,-8.67,-8.759
2221,1.73,3.26,175.0,-9.815,1375816.75,-10.358,-9.077,-9.107,-10.28,-10.749,-11.391,-11.887,-11.967
2222,0.61,18.2,74.72,-4.889,15635.25,-5.421,-4.164,-4.186,-5.357,-5.826,-6.461,-6.94,-7.026
2223,1.39,7.07,175.0,-5.497,22353.61,-6.088,-4.636,-4.722,-6.006,-6.513,-7.209,-7.743,-7.836
2224,2.04,0.78,85.28,-2.61,1999.19,-3.13,-1.91,-1.922,-3.07,-3.532,-4.155,-4.619,-4.704
2225,0.57,47.29,175.0,-6.268,50679.07,-6.825,-5.484,-5.534,-6.753,-7.239,-7.902,-8.403,-8.493
2226,1.88,1.43,109.3,-5.773,33345.74,-6.311,-5.038,-5.067,-6.244,-6.717,-7.358,-7.842,-7.929
2227,1.95,1.3,115.03,-5.205,19783.9,-5.765,-4.435,-4.476,-5.69,-6.176,-6.839,-7.345,-7.434
2228,1.25,5.81,103.98,-2.915,2331.47,-3.46,-2.143,-2.191,-3.394,-3.874,-4.525,-5.017,-5.105
2229,0.78,12.36,75.09,-4.091,8396.63,-4.607,-3.432,-3.422,-4.542,-4.997,-5.608,-6.066,-6.15
2230,0.72,13.19,69.25,-5.396,25987.14,-5.936,-4.704,-4.71,-5.861,-6.33,-6.966,-7.45,-7.537
2231,1.17,9.51,139.58,-5.362,22106.82,-5.919,-4.592,-4.634,-5.846,-6.331,-6.992,-7.496,-7.585
2232,2.22,1.04,175.0,-7.844,224823.64,-8.392,-7.082,-7.12,-8.321,-8.799,-9.454,-9.955,-10.043
2233,1.24,2.73,47.18,-2.438,1569.23,-2.947,-1.774,-1.776,-2.885,-3.337,-3.945,-4.4,-4.483
2234,2.11,1.35,175.0,-5.375,23802.6,-5.919,-4.627,-4.661,-5.851,-6.327,-6.973,-7.46,-7.547
2235,1.17,6.72,99.99,-7.037,104047.69,-7.586,-6.277,-6.317,-7.516,-7.996,-8.645,-9.141,-9.23
2236,0.93,12.66,108.71,-3.928,6402.41,-4.452,-3.235,-3.243,-4.387,-4.849,-5.473,-5.942,-6.027
2237,1.57,2.35,86.92,-2.028,1292.82,-2.512,-1.449,-1.419,-2.447,-2.874,-3.444,-3.864,-3.945
2238,1.0,11.53,115.66,-3.744,5702.72,-4.255,-3.092,-3.082,-4.191,-4.642,-5.249,-5.702,-5.786
2239,0.75,11.19,62.54,-5.505,26081.91,-6.078,-4.697,-4.755,-6.0,-6.495,-7.171,-7.688,-7.779
2240,0.87,5.39,40.14,-2.371,1424.41,-2.954,-1.475,-1.574,-2.882,-3.39,-4.08,-4.606,-4.698
2241,0.77,29.66,175.0,-7.736,190189.66,-8.303,-6.968,-7.008,-8.218,-8.7,-9.361,-9.867,-9.956
2242,1.58,4.59,175.0,-6.636,69796.66,-7.193,-5.853,-5.903,-7.121,-7.608,-8.268,-8.771,-8.86
2243,0.91,21.76,175.0,-9.644,1183876.38,-10.19,-8.914,-8.939,-10.112,-10.579,-11.219,-11.713,-11.794
2244,0.61,42.85,175.0,-6.655,71683.62,-7.223,-5.859,-5.913,-7.147,-7.639,-8.309,-8.822,-8.912
2245,0.53,51.86,175.0,-8.423,363752.19,-8.975,-7.667,-7.705,-8.898,-9.376,-10.03,-10.526,-10.611
2246,0.58,20.92,79.42,-4.079,7464.73,-4.609,-3.365,-3.38,-4.544,-5.012,-5.643,-6.117,-6.203
2247,1.28,4.96,93.78,-4.729,13316.51,-5.306,-3.937,-3.986,-5.223,-5.718,-6.396,-6.917,-7.008
2248,0.83,15.38,103.24,-3.823,6303.11,-4.357,-3.103,-3.12,-4.291,-4.761,-5.396,-5.875,-5.962
2249,1.6,3.37,135.58,-4.375,9144.36,-4.942,-3.571,-3.628,-4.868,-5.36,-6.032,-6.544,-6.634
2250,0.72,33.43,175.0,-6.835,86495.47,-7.375,-6.097,-6.128,-7.307,-7.781,-8.422,-8.909,-8.996
2251,1.93,2.08,175.0,-7.227,128652.62,-7.759,-6.51,-6.531,-7.693,-8.16,-8.791,-9.27,-9.357
2252,0.95,8.93,80.46,-5.435,21464.21,-5.996,-4.626,-4.692,-5.925,-6.415,-7.083,-7.593,-7.682
2253,1.22,10.63,175.0,-6.787,87121.05,-7.321,-6.07,-6.091,-7.254,-7.723,-8.356,-8.835,-8.922
2254,0.59,15.11,58.82,-3.756,6045.65,-4.275,-3.081,-3.082,-4.211,-4.669,-5.286,-5.748,-5.833
2255,0.69,8.84,42.91,-3.32,3852.35,-3.85,-2.611,-2.625,-3.783,-4.25,-4.881,-5.357,-5.443
2256,1.38,4.37,105.98,-7.692,184928.34,-8.252,-6.974,-6.995,-8.162,-8.633,-9.281,-9.779,-9.867
2257,1.79,2.11,131.05,-4.901,13764.82,-5.438,-4.144,-4.188,-5.374,-5.849,-6.493,-6.981,-7.067
2258,1.64,1.16,50.18,-5.327,25177.98,-5.85,-4.643,-4.646,-5.784,-6.245,-6.867,-7.333,-7.419
2259,1.77,2.96,175.0,-7.987,247723.55,-8.534,-7.218,-7.26,-8.464,-8.944,-9.601,-10.102,-10.189
2260,1.99,1.65,162.03,-5.611,26695.52,-6.167,-4.822,-4.876,-6.097,-6.583,-7.245,-7.749,-7.838
2261,0.72,13.55,71.32,-3.247,3411.97,-3.766,-2.564,-2.575,-3.701,-4.158,-4.777,-5.242,-5.326
2262,0.77,29.75,175.0,-9.566,1095873.88,-10.116,-8.833,-8.859,-10.037,-10.504,-11.146,-11.641,-11.722
2263,2.45,0.26,74.61,-2.458,1462.48,-2.957,-1.8,-1.807,-2.899,-3.345,-3.945,-4.392,-4.473
2264,1.83,1.78,121.44,-3.594,4390.04,-4.11,-2.91,-2.922,-4.047,-4.503,-5.12,-5.583,-5.666
2265,1.5,4.21,134.18,-4.378,8615.07,-4.937,-3.58,-3.639,-4.866,-5.354,-6.021,-6.528,-6.617
2266,1.55,1.07,38.39,-2.966,2255.06,-3.588,-2.031,-2.142,-3.498,-4.024,-4.745,-5.3,-5.395
2267,1.4,6.93,175.0,-9.615,1154239.0,-10.161,-8.877,-8.905,-10.085,-10.553,-11.195,-11.69,-11.77
2268,1.36,5.64,128.85,-3.384,3973.31,-3.948,-2.594,-2.638,-3.874,-4.364,-5.03,-5.537,-5.627
2269,1.19,11.17,175.0,-7.199,124325.63,-7.747,-6.449,-6.483,-7.676,-8.154,-8.801,-9.296,-9.384
2270,2.11,0.98,125.75,-5.956,39477.37,-6.549,-5.324,-5.295,-6.412,-6.873,-7.505,-7.985,-8.072
2271,0.53,35.09,119.44,-5.757,31902.81,-6.318,-4.972,-5.021,-6.244,-6.732,-7.396,-7.903,-7.992
2272,1.89,1.63,125.94,-5.032,18864.57,-5.567,-4.326,-4.339,-5.496,-5.965,-6.599,-7.079,-7.166
2273,1.21,10.74,175.0,-7.42,139121.11,-7.999,-6.657,-6.695,-7.907,-8.391,-9.056,-9.568,-9.658
2274,1.7,3.46,175.0,-5.029,16469.04,-5.555,-4.319,-4.337,-5.492,-5.957,-6.586,-7.059,-7.143
2275,1.25,3.4,60.47,-5.48,25651.61,-6.031,-4.727,-4.763,-5.959,-6.439,-7.092,-7.589,-7.678
2276,0.89,21.76,167.96,-5.918,34656.57,-6.483,-5.17,-5.207,-6.393,-6.866,-7.513,-8.006,-8.093
2277,1.45,1.01,28.14,-3.544,4832.81,-4.055,-2.902,-2.886,-3.989,-4.439,-5.043,-5.495,-5.578
2278,1.0,17.5,175.0,-5.171,18855.5,-5.733,-4.408,-4.446,-5.656,-6.142,-6.805,-7.312,-7.402
2279,0.75,30.88,171.67,-7.676,170406.48,-8.249,-6.847,-6.919,-8.172,-8.665,-9.343,-9.864,-9.954
2280,2.13,1.31,175.0,-8.492,390363.25,-9.049,-7.706,-7.758,-8.976,-9.463,-10.129,-10.636,-10.723
2281,1.36,1.16,26.59,-2.364,1516.82,-2.875,-1.709,-1.695,-2.814,-3.267,-3.875,-4.327,-4.409
2282,0.64,40.42,175.0,-7.23,125253.13,-7.8,-6.501,-6.519,-7.705,-8.181,-8.828,-9.323,-9.412
2283,1.72,3.36,175.0,-8.705,473404.78,-9.267,-7.958,-7.992,-9.182,-9.661,-10.315,-10.816,-10.901
2284,0.53,51.78,175.0,-6.994,95398.25,-7.554,-6.207,-6.259,-7.481,-7.969,-8.63,-9.136,-9.226
2285,0.61,18.71,76.64,-2.751,2380.13,-3.241,-2.156,-2.127,-3.179,-3.612,-4.191,-4.618,-4.699
2286,1.83,0.87,58.79,-3.924,6440.21,-4.466,-3.195,-3.217,-4.396,-4.87,-5.513,-6.001,-6.088
2287,1.52,5.25,175.0,-9.22,809578.25,-9.765,-8.49,-8.516,-9.69,-10.16,-10.797,-11.286,-11.367
2288,1.41,6.78,175.0,-7.358,133171.22,-7.926,-6.558,-6.615,-7.851,-8.339,-9.009,-9.523,-9.614
2289,1.16,6.07,87.43,-2.517,1923.19,-3.015,-1.886,-1.872,-2.954,-3.398,-3.991,-4.43,-4.511
2290,0.86,3.94,28.22,-2.176,1101.49,-2.789,-1.196,-1.336,-2.71,-3.235,-3.953,-4.503,-4.597
2291,0.82,12.95,85.51,-3.488,4146.7,-4.04,-2.702,-2.751,-3.973,-4.457,-5.116,-5.615,-5.703
2292,2.01,1.7,175.0,-7.697,184505.89,-8.253,-6.914,-6.963,-8.181,-8.664,-9.327,-9.835,-9.924
2293,0.94,20.17,175.0,-6.909,89992.01,-7.459,-6.196,-6.219,-7.377,-7.849,-8.489,-8.979,-9.066
2294,0.98,7.36,69.62,-2.495,1700.94,-3.021,-1.774,-1.797,-2.959,-3.425,-4.055,-4.529,-4.614
2295,0.99,10.54,102.55,-5.982,38224.08,-6.532,-5.209,-5.257,-6.463,-6.944,-7.6,-8.098,-8.186
2296,1.54,5.09,175.0,-6.494,61329.49,-7.041,-5.741,-5.778,-6.971,-7.45,-8.1,-8.593,-8.681
2297,2.43,0.65,175.0,-6.121,44503.55,-6.704,-5.299,-5.362,-6.623,-7.123,-7.808,-8.332,-8.424
2298,1.3,7.01,141.14,-8.215,297535.66,-8.777,-7.473,-7.507,-8.69,-9.168,-9.828,-10.332,-10.42
2299,1.2,1.79,28.04,-2.222,1195.09,-2.71,-1.604,-1.593,-2.651,-3.087,-3.67,-4.103,-4.182
2300,2.23,1.03,175.0,-7.008,103108.84,-7.559,-6.245,-6.285,-7.489,-7.971,-8.622,-9.12,-9.208
2301,2.04,1.6,175.0,-6.85,91155.47,-7.395,-6.104,-6.136,-7.326,-7.803,-8.448,-8.938,-9.026
2302,1.44,2.04,56.41,-4.528,10946.35,-5.076,-3.788,-3.816,-5.004,-5.482,-6.132,-6.626,-6.714
2303,1.17,11.82,175.0,-6.794,84495.07,-7.364,-6.089,-6.1,-7.264,-7.739,-8.383,-8.876,-8.964
2304,1.28,4.2,80.64,-3.621,4911.76,-4.143,-2.93,-2.94,-4.078,-4.539,-5.161,-5.629,-5.714
2305,1.9,2.21,175.0,-7.236,118513.59,-7.802,-6.492,-6.527,-7.714,-8.193,-8.849,-9.352,-9.441
2306,0.65,39.12,175.0,-8.217,292338.66,-8.781,-7.426,-7.48,-8.701,-9.188,-9.857,-10.366,-10.454
2307,1.74,2.1,115.7,-3.586,4433.33,-4.115,-2.869,-2.89,-4.051,-4.519,-5.151,-5.628,-5.713
2308,0.9,22.05,175.0,-6.681,73934.95,-7.242,-5.9,-5.947,-7.168,-7.656,-8.319,-8.825,-8.915
2309,2.26,0.97,175.0,-7.699,188917.36,-8.258,-6.934,-6.975,-8.18,-8.66,-9.321,-9.829,-9.918
2310,1.52,0.72,23.68,-2.294,1409.38,-2.779,-1.705,-1.677,-2.717,-3.146,-3.72,-4.144,-4.223
2311,1.27,4.21,78.23,-2.762,2089.45,-3.304,-1.992,-2.036,-3.24,-3.719,-4.368,-4.859,-4.946
